PR,PR previous,URL,URL previous,Title,Title previous,Content type,Content type previous,Is rendered page,Is rendered page previous,HTTP status code,HTTP status code previous,Organic traffic,Organic traffic previous,Is indexable page,Is indexable page previous,Title patch,Title patch status,Meta description,Meta description previous,Meta description patch,Meta description patch status,H1,H1 previous,H2,H2 previous,No. of content words,No. of content words previous,No. of internal outlinks,No. of internal outlinks previous,No. of external outlinks,No. of external outlinks previous,Page text,Page text previous,Extracted text (raw <body>) (length),Extracted text (raw <body>) (length) previous,Text hash,Text hash previous,First found at,First found at previous
30,23,https://tranvas.com/id,https://tranvas.com/id,Tranvas | The Unified Life Operating System,Tranvas | The Unified Life Operating System,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,200,0,0,true,true,,,"Tranvas is the all-in-one Life Operating System designed for clarity, growth, and control. Master habits, plan daily tasks, track finances, and achieve your goals.","The all-in-one productivity OS for growth, clarity, and control.",,,,,,,7,7,0,0,0,0,<truncated>,<truncated>,43,43,577846949401013455,577846949401013455,,
20,23,https://tranvas.com/id/resources/changelog,https://tranvas.com/id/resources/changelog,Changelog — What's New | Tranvas,Changelog — What's New | Tranvas,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,200,0,0,true,true,,,"Tranvas is the all-in-one Life Operating System designed for clarity, growth, and control. Master habits, plan daily tasks, track finances, and achieve your goals.","The all-in-one productivity OS for growth, clarity, and control.",,,,,,,6,6,0,0,0,0,<truncated>,<truncated>,34,34,16720307151820481420,16720307151820481420,,
20,0,https://tranvas.com/id/features/planner,https://tranvas.com/id/features/planner,Daily Planner — Focus on What Matters,,text/html; charset=utf-8,,false,false,200,302,0,0,true,false,,,"Explore the 8 core modules of Tranvas: Task Planner, Atomic Habits, Smart Finance, Mindful Journal, Gemini Neural OS AI, and more.",,,,,,,,7,0,0,0,0,0,<truncated>,,39,,15456761364119401013,,,
20,23,https://tranvas.com/id/resources/ai-trust,https://tranvas.com/id/resources/ai-trust,AI Transparency — Our Commitment | Tranvas,AI Transparency — Our Commitment | Tranvas,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,200,0,0,true,true,,,"Tranvas is the all-in-one Life Operating System designed for clarity, growth, and control. Master habits, plan daily tasks, track finances, and achieve your goals.","The all-in-one productivity OS for growth, clarity, and control.",,,,,,,7,7,0,0,0,0,<truncated>,<truncated>,44,44,591189444690140998,591189444690140998,,
20,23,https://tranvas.com/id/solutions/career-accelerator,https://tranvas.com/id/solutions/career-accelerator,Career Tracker — Focus on Professional Growth | Tranvas,Career Tracker — Focus on Professional Growth | Tranvas,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,200,0,0,true,true,,,"Tranvas is the all-in-one Life Operating System designed for clarity, growth, and control. Master habits, plan daily tasks, track finances, and achieve your goals.","The all-in-one productivity OS for growth, clarity, and control.",,,,,,,9,9,0,0,0,0,<truncated>,<truncated>,57,57,18067172238090648537,18067172238090648537,,
20,23,https://tranvas.com/id/resources/help,https://tranvas.com/id/resources/help,Help Center — Find Solutions | Tranvas,Help Center — Find Solutions | Tranvas,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,200,0,0,true,true,,,"Tranvas is the all-in-one Life Operating System designed for clarity, growth, and control. Master habits, plan daily tasks, track finances, and achieve your goals.","The all-in-one productivity OS for growth, clarity, and control.",,,,,,,7,7,0,0,0,0,<truncated>,<truncated>,40,40,16960356439459223174,16960356439459223174,,
20,23,https://tranvas.com/id/features/journal,https://tranvas.com/id/features/journal,Digital Journal — Capture Your Thoughts,Digital Journal — Capture Your Thoughts | Tranvas,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,200,0,0,true,true,,,"Explore the 8 core modules of Tranvas: Task Planner, Atomic Habits, Smart Finance, Mindful Journal, Gemini Neural OS AI, and more.","The all-in-one productivity OS for growth, clarity, and control.",,,,,,,6,8,0,0,0,0,<truncated>,<truncated>,41,51,2404016766674574672,607452968636065608,,
20,23,https://tranvas.com/id/resources/community,https://tranvas.com/id/resources/community,Community — Connect with Users | Tranvas,Community — Connect with Users | Tranvas,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,200,0,0,true,true,,,"Tranvas is the all-in-one Life Operating System designed for clarity, growth, and control. Master habits, plan daily tasks, track finances, and achieve your goals.","The all-in-one productivity OS for growth, clarity, and control.",,,,,,,7,7,0,0,0,0,<truncated>,<truncated>,42,42,4049129928004717129,4049129928004717129,,
20,23,https://tranvas.com/id/solutions/student,https://tranvas.com/id/solutions/student,For Students — Optimize Your Learning | Tranvas,For Students — Optimize Your Learning | Tranvas,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,200,0,0,true,true,,,"Tranvas is the all-in-one Life Operating System designed for clarity, growth, and control. Master habits, plan daily tasks, track finances, and achieve your goals.","The all-in-one productivity OS for growth, clarity, and control.",,,,,,,8,8,0,0,0,0,<truncated>,<truncated>,49,49,3060803246187559843,3060803246187559843,,
20,3,https://tranvas.com/id/features,https://tranvas.com/id/features,Features Overview — All-in-One Life Operating System | Tranvas,,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,404,0,0,true,false,,,"Explore the 8 core modules of Tranvas: Task Planner, Atomic Habits, Smart Finance, Mindful Journal, Gemini Neural OS AI, and more.",,,,,,,,9,0,0,0,0,0,<truncated>,,64,,1741133191591232389,,,
